,Make,Model,2016,2017,2018,2019,2020,2021,January_2022,February_2022,March_2022,April_2022,May_2022,June_2022,2022,Ex-Showroom_Price,Displacement_in_cc,Cylinders,Valves_Per_Cylinder,Drivetrain,Cylinder_Configuration,Emission_Norm,Engine_Location,Fuel_System,Fuel_Tank_Capacity_in_litres,Fuel_Type,Height_in_mm,Length_in_mm,Width_in_mm,Body_Type,Doors,City_Mileage_in_km_per_litre,Highway_Mileage,ARAI_Certified_Mileage,ARAI_Certified_Mileage_for_CNG,Kerb_Weight,Gears,Ground_Clearance,Front_Brakes,Rear_Brakes,Front_Suspension,Rear_Suspension,Front_Track,Rear_Track,Front_Tyre_&_Rim,Rear_Tyre_&_Rim,Power_Steering,Power_Windows,Power_Seats,Keyless_Entry,Odometer,Speedometer,Tachometer,Tripmeter,Seating_Capacity,Seats_Material,Type,Wheelbase,Wheels_Size,Start_/_Stop_Button,12v_Power_Outlet,Audiosystem,Aux-in_Compatibility,Average_Fuel_Consumption,Basic_Warranty,Bluetooth,Boot-lid_Opener,Boot_Space,CD_/_MP3_/_DVD_Player,Central_Locking,Child_Safety_Locks,Clock,Cup_Holders,Distance_to_Empty,Door_Pockets,Engine_Malfunction_Light,Extended_Warranty,FM_Radio,Fuel-lid_Opener,Fuel_Gauge,Handbrake,Instrument_Console,Low_Fuel_Warning,Minimum_Turning_Radius,Multifunction_Display,Sun_Visor,Third_Row_AC_Vents,Ventilation_System,Auto-Dimming_Rear-View_Mirror,Hill_Assist,Gear_Indicator,3_Point_Seat-Belt_in_Middle_Rear_Seat,Ambient_Lightning,Cargo/Boot_Lights,Drive_Modes,Engine_Immobilizer,High_Speed_Alert_System,Lane_Watch_Camera/_Side_Mirror_Camera,Passenger_Side_Seat-Belt_Reminder,Seat_Back_Pockets,Voice_Recognition,Walk_Away_Auto_Car_Lock,ABS_(Anti-lock_Braking_System),Headlight_Reminder,Adjustable_Headrests,Gross_Vehicle_Weight,Airbags,Door_Ajar_Warning,EBD_(Electronic_Brake-force_Distribution),Fasten_Seat_Belt_Warning,Gear_Shift_Reminder,Number_of_Airbags,Compression_Ratio,Adjustable_Steering_Column,Other_Specs,Other_specs,Parking_Assistance,Key_Off_Reminder,USB_Compatibility,Android_Auto,Apple_CarPlay,Cigarette_Lighter,Infotainment_Screen,Multifunction_Steering_Wheel,Average_Speed,EBA_(Electronic_Brake_Assist),Seat_Height_Adjustment,Navigation_System,Second_Row_AC_Vents,Tyre_Pressure_Monitoring_System,Rear_Center_Armrest,iPod_Compatibility,ESP_(Electronic_Stability_Program),Cooled_Glove_Box,Recommended_Tyre_Pressure,Heated_Seats,Turbocharger,ISOFIX_(Child-Seat_Mount),Rain_Sensing_Wipers,Paddle_Shifters,Leather_Wrapped_Steering,Automatic_Headlamps,Engine_Type,ASR_/_Traction_Control,Cruise_Control,USB_Ports,Heads-Up_Display,Welcome_Lights,Battery,Electric_Range_in_km_per_full_charge,Max_Power_in_hp,Max_Torque_in_Nm
15,Audi,Q3,559.4,997.86,1207.79,27.86,650.64,755.13,234.14,135.47,54.98,68.84,131.28,187.4,812.11,3677200.0,1968.0,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,64.0,Diesel,1608.0,4388.0,1831.0,SUV,5,12.0,,15.73 km/litre,,1585 kg,7,170 mm,Ventilated Disc,Ventilated Disc,"Mac Pherson type with coil spring, stabiliser bar and double acting shock absorber","Four-link rear suspension with separate spring/shock absorber arrangement, subframe, aluminum wheel",1571 mm,1575 mm,215/65R16,215/65R16,Electric Power,Only Front Windows,"Yes, with memory",Smart Key,Digital,Analog,Analog,Yes,5.0,Leather,Manual,2603 mm,215/65R16,Yes,Yes,DVD Player with USB & Aux-in,Yes,Yes,2 years / Unlimited Kms,,Internal,460 litres,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,3rd/4th year( regardless of its mileage),Yes,Internal,Digital,Manual,Analog + Digital,Yes,5.9 meter,Yes,Driver & Front Passenger,Not Applicable,Fully automatic climate control,Yes,Yes,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,2185 kg,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Drive side airbag",Yes,Yes,Yes,Yes,6.0,,"Rake, Reach",,,Rear sensors with camera,Yes,Yes,,,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment with Memory,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,,,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,,,,,,148.0,340.0
19,Audi,Q5,91.74,34.81,649.43,513.12,270.99,335.51,180.69,158.96,76.15,119.55,223.55,49.37,808.27,5021200.0,1968.0,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,64.0,Diesel,1608.0,4388.0,1831.0,SUV,5,12.0,,16.9 km/litre,,1585 kg,7,170 mm,Ventilated Disc,Ventilated Disc,"Mac Pherson type with coil spring, stabiliser bar and double acting shock absorber","Double wishbones, two-way adjustable VPS gas-hydraulic shock absorbers, pushrod operated",1571 mm,1575 mm,235 / 60 R18,235 / 60 R18,Electric Power,All Windows,"Yes, with memory",Smart Key,Digital,Analog,Analog,Yes,5.0,Leather,Automatic,2603 mm,235/60 R18,Yes,Yes,DVD Player with USB & Aux-in,Yes,Yes,2 years / Unlimited Kms,Yes,Internal,460 litres,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,3rd/4th year( regardless of its mileage),Yes,Internal,Digital,Manual,Analog + Digital,Yes,5.9 meter,Yes,Driver & Front Passenger,Not Applicable,3 Zone climate control,,Yes,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,2185 kg,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags, Curtain airbags, Drive side airbag",Yes,Yes,Yes,Yes,8.0,,"Rake, Reach",,,Rear sensors with camera,Yes,Yes,,,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment with Memory,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,,,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,,,,,,187.4,400.0
23,Audi,Q7,787.72,562.13,505.63,843.8,39.26,779.87,40.31,162.13,233.76,31.81,87.63,87.5,643.14,7221500.0,2967.0,6.0,4.0,AWD (All Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,75.0,Diesel,1740.0,5052.0,1968.0,SUV,5,9.3,12.6,14.75 km/litre,,2330 kg,8,200 mm,Ventilated Disc,Ventilated Disc,adaptive air suspesion,adaptive air suspesion,1679 mm,1691 mm,255/60R18,255/60R18,Electric Power,All Windows,Yes,Smart Key,Digital,Digital,Analog,2,7.0,Leather,Automatic,2994 mm,255/60R18,Yes,4,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,2 years / Unlimited Kms,Yes,"Internal, With Remote",295 litres,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,3rd/4th year( regardless of its mileage),Yes,Internal,Digital,Automatic,Analog + Digital,Yes,6.1 meter,Yes,Driver & Front Passenger,Yes,4 Zone climate control,,Yes,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,2925 kg,"Driver head airbag, Drive side airbag, Rear passenger head airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags",Yes,Yes,Yes,Yes,8.0,,"Rake, Reach",,,Front and rear sensors with camera,Yes,Yes,,,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment with Memory,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,,Only front,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,,,,,245.59,600.0
29,Audi,Q8,599.89,382.83,587.63,625.32,267.84,1089.38,46.73,81.48,50.55,119.7,247.43,71.05,616.94,13359500.0,2995.0,4.0,4.0,AWD (All Wheel Drive),V,BS 6,"Front, Longitudinal",Injection,85.0,Petrol,1740.0,5052.0,1968.0,SUV,5,,,,,2115 kg,8,200 mm,Ventilated Disc,Ventilated Disc,adaptive air suspesion,adaptive air suspesion,,,275/50 R20,275/50 R20,Electro-Hydraulic,All Windows,"Yes, with memory",Smart Key,Digital,"Analog, Digital",Analog,Yes,7.0,Leather,Automatic,2994 mm,275/50 R20,Yes,Yes,DVD Player with USB & Aux-in,Yes,Yes,2 Years Warranty,Yes,With Remote,605 litres,Yes,Yes,Yes,Digital,Front & Rear,Yes,,Yes,,Yes,With Remote,Digital,Automatic,Analog + Digital,Yes,,Yes,Driver & Front Passenger,,4 Zone climate control,Yes,Yes,Yes,Yes,Yes,Yes,"Normal, Comfort, Eco, Sport, Power Mode",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,All Rows,2830 kg,"Driver head airbag, Front passenger head airbag, Drive side airbag, Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag",Yes,Yes,Yes,Yes,8.0,,"Rake, Reach",,,Front & rear sensors with 360 degree view,Yes,Yes,Yes,Yes,Yes,Touch Sensitive,"Multifunction Steering Wheel, With gear shift paddles",Yes,Yes,Electric Adjustment with Memory,Yes,,Yes,Cup Holders,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,"Roller cam follower, continuous intake and exhaust camshaft adjustment, hydraulic valve-play compensation / 2/2 inlet/exhaust valves per cylinder",Yes,Yes,,Yes,Yes,,,335.35,500.0
30,Audi,R8,777.17,1012.16,978.25,1208.02,1057.32,695.85,234.68,208.88,141.93,130.17,134.97,105.93,956.56,27245000.0,5204.0,10.0,4.0,AWD (All Wheel Drive),V,BS IV,"Mid, Longitudinal",Injection,75.0,Petrol,1252.0,4440.0,2029.0,Coupe,2,7.8,7.8,6.71 km/litre,,1670 kg,7,110 mm,Ventilated Disc,Ventilated Disc,Double wishbone suspension,Double wishbone suspension,1638 mm,1595 mm,245/35R19,295/35R19,Electric Power,Only Front Windows,,Remote,Digital,Analog,Digital,Yes,2.0,Leather,Automatic,2650 mm,245/35 R19,Yes,1,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,,Yes,With Remote,,Yes,Yes,Yes,Digital,Front,,,,,Yes,With Remote,Digital,Manual,Analog,Yes,5.9 meter,Yes,,,Fully automatic climate control,,Yes,Yes,,,,,Yes,,,,,,,Yes,,,1895 kg,"Driver curtain airbag, Driver frontal airbag, Front passenger frontal airbag, Driver head airbag, Front passenger side airbag, Front passenger head airbag, Drive side airbag, Front passenger curtain airbag",Yes,Yes,Yes,Yes,8.0,,"Rake, Reach",,,Rear sensors,Yes,Yes,,,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,,Yes,,Yes,,Yes,,,,Only front,,Yes,Yes,Yes,Yes,,,Yes,Yes,,,,,,601.66,560.0
31,Audi,Rs7,365.41,1192.72,892.01,1160.1,258.24,1259.31,86.28,163.67,236.42,185.18,159.39,187.37,1018.31,17072000.0,3993.0,8.0,4.0,AWD (All Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,75.0,Petrol,1419.0,5012.0,1911.0,"Sedan, Coupe",4,5.6,9.0,9.8 km/litre,,1995 kg,8,109 mm,Ventilated Disc,Ventilated Disc,adaptive air suspesion,adaptive air suspesion,1634 mm,1625 mm,275/35R20,275/35R20,Electric Power,All Windows,Yes,Smart Key,Digital,Analog,Analog,Yes,4.0,Leather,Automatic,2915 mm,275/35R20,Yes,Yes,DVD Player with USB & Aux-in,Yes,Yes,2 years / Unlimited Kms,Yes,"Internal, With Remote",535 litres,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,3rd/4th year( regardless of its mileage),Yes,Internal,Analog,Automatic,Analog + Digital,Yes,11.9 meter,Yes,Driver & Front Passenger,,4 Zone climate control,,Yes,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,Front Row,2505 kg,"Driver frontal airbag, Driver head airbag, Front passenger frontal airbag, Front passenger head airbag, Front passenger side airbag, Drive side airbag, Rear passenger head airbags",Yes,Yes,Yes,Yes,8.0,,"Rake, Reach",,,Front & rear sensors with 360 degree view,Yes,Yes,,,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment with Memory,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,,All,,Yes,Yes,,Yes,Yes,,Yes,Yes,,,,,,552.34,700.0
32,Audi,S5,57.82,505.18,179.65,441.27,20.63,333.99,200.23,58.78,49.05,228.82,87.28,204.63,828.79,7243000.0,2995.0,6.0,4.0,AWD (All Wheel Drive),V,BS IV,"Front, Longitudinal",Injection,58.0,Petrol,1384.0,4718.0,1843.0,Sedan,4,,,13.57 km/litre,,1790 kg,7,,Ventilated Disc,Ventilated Disc,S sport suspension,S sport suspension,1588 mm,1575 mm,245/40R18,245/40R18,Electro-Hydraulic,All Windows,Yes,Smart Key,Digital,Analog,Analog,Yes,5.0,Leather,Automatic,2811 mm,245/40R18,Yes,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,2 years / Unlimited Kms,Yes,"Internal, With Remote",,Yes,Yes,Yes,Digital,Front,Yes,Front & Rear,Yes,3rd/4th year( regardless of its mileage),Yes,Internal,Analog,Automatic,Analog + Digital,Yes,5.8 meter,Yes,Driver & Front Passenger,,3 Zone climate control,,Yes,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,2230 kg,"Rear passenger side airbags, Driver head airbag, Front passenger head airbag, Drive side airbag, Rear passenger head airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag",Yes,Yes,Yes,Yes,10.0,,"Rake, Reach",,,Front and rear sensors with camera,Yes,Yes,,,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment with Memory,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,,Only front,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,,,,,328.44,500.0
33,Bajaj,Qute (Re60),187.3,241.08,576.52,562.19,895.88,239.02,80.42,209.49,1.35,118.2,151.08,173.34,733.88,263000.0,216.0,1.0,4.0,RWD (Rear Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,,Petrol,1652.0,2752.0,1312.0,Hatchback,4,,,35 km/litre,,,5,,Drum,Drum,Hydraulic Telescopic Shock Absorber,Hydraulic Telescopic Shock Absorber,1143 mm,,R12,R12,,,,,Yes,Yes,Yes,Yes,4.0,Fabric,Manual,1925 mm,R12,,Yes,Not on offer,,,,,Manual,20 litres,,,Yes,Yes,Not on offer,Yes,,Yes,,,Manual,Yes,Manual,Analog,Yes,3.5 meter,Yes,Driver Only,Not Applicable,,,,,Yes,Yes,Yes,Normal,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.18,18.9
35,Bentley,Bentayga,14.77,447.09,1183.2,605.05,214.73,273.45,64.58,22.78,39.41,35.98,209.58,178.92,551.25,45941557.0,5950.0,12.0,4.0,AWD (All Wheel Drive),W,BS IV,"Front, Longitudinal",PGM - Fi,85.0,Petrol,1742.0,5141.0,1998.0,SUV,5,9.6,13.1,19 km/litre,,2422 kg,8,,Ventilated Disc,Ventilated Disc,Air Suspension with Continuous Damping Control and 4 height settings,Air suspension with continuous damping control and 4 height setting,,,285/45R21,285/45R21,Electro-Hydraulic,All Windows,Power seats,Smart Key,Digital,Digital,Analog,2,5.0,Leather,Automatic,2992 mm,R21,Yes,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,,Yes,"Manual, With Remote",430 litres,Yes,Yes,Yes,Digital,"Front & Rear, Centre",Yes,Front & Rear,Yes,,Yes,"Internal, With Remote",Digital,Automatic,Analog + Digital,Yes,,Yes,Driver & Front Passenger,Not Applicable,4 Zone climate control,,Yes,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,3250 kg,"Rear passenger side airbags, Driver head airbag, Drive side airbag, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag",Yes,Yes,Yes,Yes,6.0,,"Rake, Reach",,,Front and rear sensors with camera,Yes,Yes,,,Yes,Touch Sensitive,"Multifunction Steering Wheel, With gear shift paddles",Yes,Yes,Electric Adjustment with Memory,Yes,Yes,Yes,"Audio Controls, Cup Holders",Yes,Yes,Yes,,All,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,,,,,599.68,900.0
37,Bentley,Continental Gt,1151.76,42.02,734.09,1138.87,1011.73,1048.52,118.75,51.41,219.89,81.42,202.92,172.12,846.51,33791059.0,5998.0,12.0,4.0,AWD (All Wheel Drive),W,BS IV,"Front, Longitudinal",Injection,90.0,Petrol,1401.0,4807.0,2226.0,Coupe,2,5.3,8.6,8.6 km/litre,,2320 kg,8,142 mm,Ventilated Disc,Ventilated Disc,Air springs with continous damping control,Air springs with continous damping control,1623 mm,1607 mm,275/40R20,275/40R20,Electric Power,All Windows,Yes,Smart Key,Digital,Analog,Analog,Yes,4.0,Leather,Automatic,2746 mm,275/40R20,Yes,Yes,DVD Player with USB & Aux-in,Yes,Yes,2 years / Unlimited Kms,Yes,Internal,358 litres,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front,Yes,1 years /Unlimited Kms (years/distance whichever comes first),Yes,Internal,Analog,Automatic,Analog + Digital,Yes,5.6 meter,Yes,Driver & Front Passenger,Not Applicable,Fully automatic climate control,,Yes,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,,2750 kg,"Rear passenger side airbags, Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag",Yes,Yes,Yes,Yes,6.0,,"Rake, Reach",,,Front and rear sensors with camera,Yes,Yes,,,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment with Memory,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,,Only front,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,,,,,581.93,720.0
38,Bentley,Flying Spur,61.28,813.87,417.46,534.17,418.73,844.04,96.03,71.3,23.29,30.58,200.96,35.96,458.12,34167064.0,3993.0,8.0,4.0,AWD (All Wheel Drive),V,BS IV,"Front, Longitudinal",Injection,90.0,Petrol,1488.0,5299.0,2207.0,Sedan,4,2.0,4.0,4 km/litre,,2417 kg,8,142 mm,Ventilated Disc,Ventilated Disc,Air springs with continous damping control,Air springs with continous damping control,1623 mm,1607 mm,275/40R19,275/40R19,Electric Power,All Windows,Yes,Smart Key,Digital,Analog,Analog,Yes,4.0,Leather,Automatic,3066 mm,275/40R19,Yes,Yes,DVD Player with USB & Aux-in,Yes,Yes,2 years / Unlimited Kms,Yes,Internal,475 litres,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,1 years /Unlimited Kms (years/distance whichever comes first),Yes,Internal,Analog,Automatic,Analog + Digital,Yes,5.9 meter,Yes,Driver & Front Passenger,Not Applicable,Fully automatic climate control,,Yes,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,2972 kg,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags, Curtain airbags",Yes,Yes,Yes,Yes,6.0,9,"Rake, Reach",,,Front and rear sensors with camera,Yes,Yes,,,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment with Memory,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,,Only front,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,,,,,500.06,660.0
40,Bentley,Mulsanne,8.53,650.2,880.95,660.47,237.91,1193.18,193.55,45.41,21.3,60.32,48.26,132.98,501.82,52571294.0,6752.0,8.0,4.0,RWD (Rear Wheel Drive),V,BS IV,"Front, Longitudinal",Injection,90.0,Petrol,1521.0,5575.0,2208.0,Sedan,4,6.2,9.5,9.5 km/litre,,2685 kg,8,142 mm,Ventilated Disc,Ventilated Disc,Air springs with continous damping control,Air springs with continous damping control,1615 mm,1625 mm,265/45R20,265/45R20,Electric Power,All Windows,Yes,Smart Key,Digital,Analog,Analog,Yes,4.0,Leather,Automatic,3266 mm,265/45R20,Yes,Yes,DVD Player with USB & Aux-in,Yes,Yes,2 years / Unlimited Kms,Yes,Internal,443 litres,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,1 years /Unlimited Kms (years/distance whichever comes first),Yes,Internal,,Automatic,Analog + Digital,Yes,5.9 meter,Yes,Driver & Front Passenger,Not Applicable,Fully automatic climate control,,Yes,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,,3200 kg,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags, Curtain airbags",Yes,Yes,Yes,Yes,6.0,7:8,"Rake, Reach",,,Front and rear sensors with camera,Yes,Yes,,,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment with Memory,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,,Only front,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,,,,,505.0,1020.0
41,Bmw,3-Series,1210.29,102.36,793.81,1022.42,1059.86,258.34,148.47,1.28,51.65,133.51,224.22,202.63,761.76,4140000.0,1995.0,4.0,4.0,RWD (Rear Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,40.0,Diesel,1429.0,4633.0,1811.0,Sedan,5,,,19.62 km/litre,,1590 kg,8,157 mm,Ventilated Disc,Ventilated Disc,,,,,225/50 R17,225/50 R17,Electric Power,All Windows,,Smart Key,Digital,"Analog, Digital",Analog,2,5.0,Leather,Automatic,2810 mm,225/50 R17,Yes,2,CD Player with USB & Aux-in,Yes,Yes,,Yes,With Remote,480 litres,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,,Yes,With Remote,Digital,Automatic,Analog + Digital,Yes,,Yes,Driver & Front Passenger,,2 Zone Climate Control,Yes,Yes,Yes,,Yes,Yes,"Normal, Eco, Sport",Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,All Rows,,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Drive side airbag, Front passenger curtain airbag, Driver curtain airbag",Yes,Yes,Yes,Yes,6.0,,"Rake, Reach",,,Rear sensors with camera,Yes,Yes,Yes,Yes,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment,Yes,Yes,,Cup Holders,Yes,Yes,Yes,,,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,,,Yes,,,187.4,400.0
44,Bmw,5-Series,781.24,1027.96,270.96,802.3,701.51,1128.33,49.53,121.22,115.76,233.94,49.9,223.76,794.11,5930000.0,1995.0,4.0,4.0,RWD (Rear Wheel Drive),In-line,BS IV,"Front, Longitudinal",Injection,70.0,Diesel,1464.0,4907.0,1860.0,Sedan,4,8.4,11.5,18.12 km/litre,,1705 kg,8,158 mm,Ventilated Disc,Ventilated Disc,Double joint spring-strut axle,Aluminium integral axle,1600 mm,1627 mm,225/55R17,225/55R17,Electric Power,All Windows,Yes,Smart Key,Digital,Analog,Analog,Yes,5.0,Leather,Automatic,2968 mm,225/55R17,Yes,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,2 years / Unlimited Kms,Yes,"With Remote, Manual",520 litres,Yes,Yes,Yes,Digital,Front & Rear,Yes,"Front, Front & Rear",Yes,,Yes,Internal,Analog,Automatic,Analog + Digital,Yes,11.4 meter,Yes,Driver & Front Passenger,,Fully automatic climate control,,,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,2315 kg,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Driver head airbag, Front passenger head airbag, Drive side airbag, Rear passenger head airbags",Yes,Yes,Yes,Yes,8.0,,"Rake, Reach",,,Front and rear sensors with camera,Yes,Yes,,,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment with Memory,Yes,Yes,,Cup Holders,Yes,Yes,Yes,,Only front,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,,,,,187.4,400.0
47,Bmw,6-Series,73.15,418.13,413.06,1015.44,801.23,1250.03,212.84,148.4,108.98,238.07,244.52,183.39,1136.2,6890000.0,2993.0,6.0,4.0,AWD (All Wheel Drive),V,BS IV,"Front, Longitudinal",Injection,88.0,Diesel,1481.0,5219.0,2142.0,Sedan,4,,,16.46 km/litre,,1865 kg,8,152 mm,Ventilated Disc,Ventilated Disc,Adaptive 2-axle air suspension,Adaptive 2-axle air suspension,1611 mm,1650 mm,245/45R19,275/40R19,Electric Power,All Windows,Yes,Smart Key,Digital,Analog,Analog,Yes,4.0,Leather,Automatic,3210 mm,245/45R19,Yes,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,,Yes,"With Remote, Internal",,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,,Yes,Internal,Analog,Automatic,Analog + Digital,Yes,,Yes,Driver & Front Passenger,,4 Zone climate control,,,Yes,,,,,Yes,,,,,,,Yes,Yes,All Rows,,"Driver head airbag, Drive side airbag, Rear passenger head airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag",Yes,Yes,Yes,Yes,6.0,,"Rake, Reach",,,Front and rear sensors with camera,Yes,Yes,,,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment with Memory,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,,Only front,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,,,,,261.37,620.0
50,Bmw,7-Series,497.69,820.63,30.67,1122.45,229.73,246.1,195.12,128.63,134.78,83.4,141.67,169.08,852.68,12290000.0,2993.0,6.0,4.0,AWD (All Wheel Drive),V,BS 6,"Front, Longitudinal",Injection,78.0,Diesel,1479.0,5120.0,2169.0,Sedan,4,13.5,16.46,17.66 km/litre,,,8,152 mm,Ventilated Disc,Ventilated Disc,Adaptive 2-axle air suspension,Adaptive 2-axle air suspension,1618 mm,1646 mm,(245/50 R18,(245/50 R18,Hydraulic Power,All Windows,Yes,Smart Key,Digital,"Analog, Digital",Analog,2,4.0,Leather,Automatic,3210 mm,(245/50 R18,Yes,2,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,"3 years/40,000 km",Yes,"Internal, With Remote",515 litres,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,,Yes,Internal,Analog,Automatic,Analog + Digital,Yes,7.5 meter,Yes,Driver & Front Passenger,,4 Zone climate control,Yes,Yes,Yes,,Yes,Yes,"Normal, Comfort, Eco, Sport",Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,All Rows,2560 kg,"Driver head airbag, Front passenger head airbag, Drive side airbag, Rear passenger head airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag",Yes,Yes,Yes,Yes,8.0,,"Rake, Reach",,,Front & rear sensors with 360 degree view,Yes,Yes,Yes,Yes,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment with Memory,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,,All,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,,,261.37,620.0
